2024-11-20 17:52:39.373 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2024.20.0-linux-x64/python-env-tools/bin/pet server
2024-11-20 17:52:49.481 [info] Discovered env: /usr/bin/python3
2024-11-20 17:52:49.533 [info] Discovered env: /usr/local/bin/python
2024-11-20 17:52:49.561 [info] Discovered env: /bin/python3
2024-11-20 17:52:49.735 [info] Locator Conda took 228.439315ms
2024-11-20 17:52:49.738 [info] Locator Homebrew took 1.53933639s
2024-11-20 17:52:49.741 [info] Locator LinuxGlobal took 3.369249559s
2024-11-20 17:52:49.747 [info] Locator PipEnv took 74.604µs
2024-11-20 17:52:49.751 [info] Locator Poetry took 20.456737ms
2024-11-20 17:52:49.754 [info] Locator PyEnv took 49.757209ms
2024-11-20 17:52:49.761 [info] Locator Venv took 50.703µs
2024-11-20 17:52:49.764 [info] Locator VirtualEnv took 132.108µs
2024-11-20 17:52:49.767 [info] Locator VirtualEnvWrapper took 133.908µs
2024-11-20 17:52:49.769 [info] Locator GlobalVirtualEnvs took 174.846974ms
2024-11-20 17:52:49.771 [info] Locator Locators took 3.386063976s
2024-11-20 17:52:49.774 [info] Locator Path took 5.229499192s
2024-11-20 17:52:49.777 [info] Locator Workspaces took 465.856472ms
2024-11-20 17:52:49.787 [info] Refresh completed in 5230ms
