2024-11-05 14:31:25.270 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2024.18.0-linux-x64/python-env-tools/bin/pet server
2024-11-05 14:31:29.218 [info] Discovered env: /usr/bin/python3
2024-11-05 14:31:30.691 [info] Discovered env: /bin/python3
2024-11-05 14:31:33.353 [info] Discovered env: /usr/local/bin/python
2024-11-05 14:31:33.671 [info] Locator Conda took 360.671119ms
2024-11-05 14:31:33.672 [info] Locator Homebrew took 324.171114ms
2024-11-05 14:31:33.798 [info] Locator LinuxGlobal took 3.053009342s
2024-11-05 14:31:33.800 [info] Locator PipEnv took 38.603µs
2024-11-05 14:31:33.804 [info] Locator Poetry took 75.352691ms
2024-11-05 14:31:33.805 [info] Locator PyEnv took 83.326904ms
2024-11-05 14:31:33.808 [info] Locator Venv took 86.206µs
2024-11-05 14:31:33.810 [info] Locator VirtualEnv took 2.73941ms
2024-11-05 14:31:33.812 [info] Locator VirtualEnvWrapper took 1.594823ms
2024-11-05 14:31:33.813 [info] Locator GlobalVirtualEnvs took 58.15097ms
2024-11-05 14:31:33.814 [info] Locator Locators took 3.056967747s
2024-11-05 14:31:33.816 [info] Locator Path took 8.164062636s
2024-11-05 14:31:33.817 [info] Locator Workspaces took 264.074396ms
2024-11-05 14:31:33.871 [info] Refresh completed in 8167ms
